Geography,Geography Type,Geography Note,Year,Gender,Total Population,Population Aged 0 to 4,Population Aged 5 to 9,Population Aged 10 to 14,Population Aged 15 to 19,Population Aged 20 to 24,Population Aged 25 to 29,Population Aged 30 to 34,Population Aged 35 to 39,Population Aged 40 to 44,Population Aged 45 to 49,Population Aged 50 to 54,Population Aged 55 to 59,Population Aged 60 to 64,Population Aged 65 to 69,Population Aged 70 to 74,Population Aged 75 to 79,Population Aged 80+
"Joe Batt's Arm-Barr'd Islands-Shoal Bay, Municipality of",Community,This is the locality of Joe Batt's Arm-Barr'd Islands-Shoal Bay. For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2012,Male,360,5,15,10,20,15,15,15,10,20,25,55,45,35,20,15,15,20
"Joe Batt's Arm-Barr'd Islands-Shoal Bay, Municipality of",Community,This is the locality of Joe Batt's Arm-Barr'd Islands-Shoal Bay. For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2012,Total,680,15,30,20,30,30,20,25,25,35,70,90,80,65,40,35,35,35
"King's Cove, Municipality of",Community,,2010,Female,55,,,5,,5,,5,,5,5,10,10,5,5,5,5,5
"King's Cove, Municipality of",Community,,2010,Male,60,5,,10,,,5,,10,5,5,10,15,5,,5,,
"King's Cove, Municipality of",Community,,2010,Total,115,,,5,,5,10,5,5,5,10,15,25,10,5,5,5,5
"King's Cove, Municipality of",Community,,2011,Female,50,,,5,,,,,,5,5,5,10,5,5,5,5,5
"King's Cove, Municipality of",Community,,2011,Male,55,,,5,5,,,,5,5,5,5,15,5,,5,,
"King's Cove, Municipality of",Community,,2011,Total,110,,,5,5,5,5,5,5,5,10,15,30,10,5,5,5,5
"King's Cove, Municipality of",Community,,2012,Female,45,,,5,,,5,,5,5,5,5,10,5,5,,5,5
"King's Cove, Municipality of",Community,,2012,Male,55,,,5,5,,,,5,5,5,10,15,5,5,5,,
"King's Cove, Municipality of",Community,,2012,Total,105,,5,5,5,,5,,5,10,5,10,25,10,10,5,5,5
"King's Point, Municipality of",Community,,2010,Female,350,15,20,25,20,15,25,10,30,45,15,35,30,20,10,20,10,10
"King's Point, Municipality of",Community,,2010,Male,335,10,10,30,25,15,20,15,20,25,30,30,25,25,20,5,10,10
"King's Point, Municipality of",Community,,2010,Total,690,25,30,50,50,30,45,25,60,65,45,75,60,50,30,25,20,20
"King's Point, Municipality of",Community,,2011,Female,345,15,20,25,20,15,15,10,25,45,20,35,25,25,15,15,10,10
"King's Point, Municipality of",Community,,2011,Male,325,10,10,20,25,15,15,10,20,25,30,30,30,20,25,10,10,10
"King's Point, Municipality of",Community,,2011,Total,675,25,25,40,50,30,30,25,50,70,50,70,55,50,40,25,20,20
"King's Point, Municipality of",Community,,2012,Female,345,15,15,25,25,15,15,10,15,40,30,30,25,30,20,15,15,10
"King's Point, Municipality of",Community,,2012,Male,325,15,10,15,25,20,15,15,20,30,25,25,35,20,25,15,10,15
"King's Point, Municipality of",Community,,2012,Total,675,30,20,35,50,35,30,25,35,70,55,60,60,50,45,25,25,25
"Labrador City, Municipality of",Community,,2010,Female,3505,190,205,265,205,220,275,305,315,295,285,285,295,205,90,40,25,25
"Labrador City, Municipality of",Community,,2010,Male,3845,230,235,275,255,240,285,290,345,310,305,285,345,240,105,60,30,15
"Labrador City, Municipality of",Community,,2010,Total,7355,420,445,540,460,460,555,595,670,600,585,565,630,450,195,105,55,40
"Labrador City, Municipality of",Community,,2011,Female,3500,195,200,225,215,225,280,285,315,310,275,280,290,205,100,45,25,30
"Labrador City, Municipality of",Community,,2011,Male,3865,230,245,260,250,285,285,330,320,320,295,260,320,250,120,55,30,15
"Labrador City, Municipality of",Community,,2011,Total,7365,425,445,485,470,510,565,615,645,625,570,535,605,455,225,105,55,45
"Labrador City, Municipality of",Community,,2012,Female,3605,220,195,240,225,250,265,295,325,315,295,275,275,215,120,50,30,30
"Labrador City, Municipality of",Community,,2012,Male,4000,235,260,250,285,325,300,315,335,340,310,265,285,280,130,60,30,20
"Labrador City, Municipality of",Community,,2012,Total,7605,450,455,490,510,575,565,615,665,645,605,530,550,500,250,110,65,45
"L'Anse au Clair, Municipality of",Community,,2010,Female,105,5,10,10,5,10,5,5,,10,5,10,5,10,5,5,5,5
"L'Anse au Clair, Municipality of",Community,,2010,Male,90,5,,5,10,5,,5,5,10,5,5,5,5,10,5,5,5
"L'Anse au Clair, Municipality of",Community,,2010,Total,195,5,10,10,15,10,5,15,5,20,15,15,10,15,15,10,5,10
"L'Anse au Clair, Municipality of",Community,,2011,Female,105,5,10,10,10,10,5,5,,10,5,5,10,5,10,5,,5
"L'Anse au Clair, Municipality of",Community,,2011,Male,90,5,5,5,5,5,,5,5,15,5,5,10,5,5,5,,5
"L'Anse au Clair, Municipality of",Community,,2011,Total,190,5,10,10,15,10,5,10,5,25,15,15,15,10,15,15,,5
"L'Anse au Clair, Municipality of",Community,,2012,Female,105,5,10,5,10,10,5,5,,10,10,10,10,5,10,5,5,5
"L'Anse au Clair, Municipality of",Community,,2012,Male,95,5,5,5,5,5,5,,5,10,5,5,10,10,5,5,,5
"L'Anse au Clair, Municipality of",Community,,2012,Total,195,5,10,10,15,10,10,10,10,20,20,15,20,15,15,15,5,5
"L'Anse au Loup, Labrador, Municipality of",Community,,2010,Female,265,10,10,20,15,5,5,20,15,30,35,20,20,20,20,10,10,10
"L'Anse au Loup, Labrador, Municipality of",Community,,2010,Male,275,10,15,15,30,15,5,15,15,20,25,20,25,20,10,10,10,5
"L'Anse au Loup, Labrador, Municipality of",Community,,2010,Total,540,20,25,35,50,20,10,30,30,50,60,40,45,40,25,20,20,15
"L'Anse au Loup, Labrador, Municipality of",Community,,2011,Female,270,10,10,15,15,15,5,15,15,30,35,20,20,30,15,10,10,10
"L'Anse au Loup, Labrador, Municipality of",Community,,2011,Male,275,10,15,15,30,15,10,10,15,25,25,30,20,20,20,10,10,5
"L'Anse au Loup, Labrador, Municipality of",Community,,2011,Total,550,15,25,35,45,25,10,25,30,55,60,50,40,50,30,20,20,15
"L'Anse au Loup, Labrador, Municipality of",Community,,2012,Female,270,10,5,15,15,10,10,10,15,20,40,20,25,30,15,15,5,10
"L'Anse au Loup, Labrador, Municipality of",Community,,2012,Male,280,5,10,15,25,20,10,10,15,25,25,35,20,20,20,10,5,10
"L'Anse au Loup, Labrador, Municipality of",Community,,2012,Total,550,20,20,35,45,25,15,20,30,45,65,55,40,50,30,25,15,20
"Lark Harbour, Municipality of",Community,,2010,Female,265,15,10,15,10,5,5,15,15,15,25,30,25,30,20,15,10,15
"Lark Harbour, Municipality of",Community,,2010,Male,250,5,10,10,15,10,,25,15,25,15,15,30,25,15,15,10,10
"Lark Harbour, Municipality of",Community,,2010,Total,515,20,20,30,30,15,10,30,30,40,35,40,50,60,35,30,15,20
"Lark Harbour, Municipality of",Community,,2011,Female,260,10,10,15,10,5,10,10,15,15,25,30,25,30,20,10,10,15
"Lark Harbour, Municipality of",Community,,2011,Male,250,5,10,15,15,10,,20,15,25,15,20,25,30,20,15,5,10
"Lark Harbour, Municipality of",Community,,2011,Total,510,15,20,35,25,15,10,25,30,40,35,45,45,65,40,30,15,25
"Lark Harbour, Municipality of",Community,,2012,Female,260,10,10,15,15,5,10,15,10,20,20,25,25,35,15,15,10,10
"Lark Harbour, Municipality of",Community,,2012,Male,255,10,10,15,10,10,5,10,20,20,15,20,25,30,25,10,10,10
"Lark Harbour, Municipality of",Community,,2012,Total,510,20,20,35,25,15,10,20,25,45,35,40,50,70,40,25,15,20
"Lawn, Municipality of",Community,,2010,Female,325,15,20,10,25,20,10,20,20,25,35,40,25,30,15,5,5,10
"Lawn, Municipality of",Community,,2010,Male,335,5,25,25,35,25,15,10,15,30,30,35,25,20,20,15,5,5
"Lawn, Municipality of",Community,,2010,Total,665,20,45,35,60,40,25,25,40,60,65,65,55,50,35,15,10,15
"Lawn, Municipality of",Community,,2011,Female,330,15,20,5,25,15,10,15,20,25,35,35,25,30,20,5,10,10
"Lawn, Municipality of",Community,,2011,Male,340,15,20,25,35,20,15,10,15,25,35,35,25,25,25,15,5,5
"Lawn, Municipality of",Community,,2011,Total,670,30,40,30,60,35,25,25,40,55,70,65,60,55,45,15,15,15
"Lawn, Municipality of",Community,,2012,Female,320,15,20,5,20,20,10,20,20,25,25,45,25,25,20,5,10,15
"Lawn, Municipality of",Community,,2012,Male,330,10,20,20,30,25,15,10,15,25,35,30,25,25,25,10,10,5
"Lawn, Municipality of",Community,,2012,Total,655,20,45,25,50,40,25,25,35,50,60,70,55,55,50,15,15,15
Lewin's Cove,Community,,2010,Female,280,10,10,20,15,10,10,15,20,25,25,25,20,25,20,15,5,10
Lewin's Cove,Community,,2010,Male,275,15,15,10,15,10,10,10,25,30,25,20,25,30,20,15,5,5
Lewin's Cove,Community,,2010,Total,555,25,25,30,30,25,20,25,45,60,50,45,45,50,40,25,10,15
Lewin's Cove,Community,,2011,Female,285,10,15,15,15,10,15,15,20,30,25,25,20,25,15,10,10,5
Lewin's Cove,Community,,2011,Male,270,10,20,15,15,10,10,10,20,30,25,15,25,20,25,15,5,5
Lewin's Cove,Community,,2011,Total,555,25,35,30,25,25,25,20,40,60,50,40,45,45,40,25,10,10
Lewin's Cove,Community,,2012,Female,270,10,15,15,10,10,10,10,20,25,30,20,15,30,15,10,15,10
Lewin's Cove,Community,,2012,Male,275,10,20,15,15,10,10,5,20,30,25,20,25,25,25,15,5,10
Lewin's Cove,Community,,2012,Total,540,20,30,30,25,25,20,10,40,60,55,40,40,50,40,30,15,15
"Little Bay East, Municipality of",Community,,2010,Female,65,,5,5,5,,,5,5,5,5,5,5,10,5,5,,
"Little Bay East, Municipality of",Community,,2010,Male,70,,,,10,5,5,5,5,10,5,5,5,5,10,,,
"Little Bay East, Municipality of",Community,,2010,Total,135,,10,5,15,5,5,5,5,15,10,15,10,15,15,10,5,
"Little Bay East, Municipality of",Community,,2011,Female,60,,5,,5,5,,,5,5,5,10,,5,5,5,,
"Little Bay East, Municipality of",Community,,2011,Male,70,,5,,10,5,5,5,5,5,5,5,5,5,5,,,
"Little Bay East, Municipality of",Community,,2011,Total,130,,10,5,15,10,5,,10,10,15,15,10,10,10,10,5,5
"Little Bay East, Municipality of",Community,,2012,Female,65,,,5,5,5,,5,5,5,5,10,5,5,5,10,,
"Little Bay East, Municipality of",Community,,2012,Male,70,5,5,,5,5,,5,5,5,5,5,5,,10,5,,5
"Little Bay East, Municipality of",Community,,2012,Total,135,5,5,5,10,10,5,5,5,10,10,15,10,10,10,10,5,5
"Little Burnt Bay, Municipality of",Community,,2010,Female,130,5,5,5,10,5,5,5,10,10,10,5,15,20,10,5,,
"Little Burnt Bay, Municipality of",Community,,2010,Male,145,,10,5,15,10,5,,5,15,10,15,5,15,20,10,,5
"Little Burnt Bay, Municipality of",Community,,2010,Total,275,5,15,10,25,15,10,5,20,25,25,20,20,35,30,10,5,10
"Little Burnt Bay, Municipality of",Community,,2011,Female,140,10,5,10,10,,5,5,10,15,10,10,15,20,10,5,,
"Little Burnt Bay, Municipality of",Community,,2011,Male,150,5,5,10,15,10,,5,5,15,10,15,5,15,25,10,,5
"Little Burnt Bay, Municipality of",Community,,2011,Total,295,10,10,15,25,15,5,10,20,25,25,20,20,35,35,15,10,10
"Little Burnt Bay, Municipality of",Community,,2012,Female,130,5,5,10,5,5,5,10,5,15,10,10,10,20,10,5,5,
"Little Burnt Bay, Municipality of",Community,,2012,Male,145,5,5,10,10,5,5,5,5,15,10,10,5,10,20,10,5,5
"Little Burnt Bay, Municipality of",Community,,2012,Total,275,10,10,15,15,15,10,10,10,30,20,20,20,35,35,15,10,10
"Avondale, Municipality of",Community,,2010,Female,330,15,20,15,15,20,15,15,20,20,35,25,30,25,15,20,10,15
"Avondale, Municipality of",Community,,2010,Male,285,15,15,15,10,15,10,20,20,20,25,30,30,20,25,10,10,10
"Avondale, Municipality of",Community,,2010,Total,620,35,35,30,25,30,25,35,40,40,55,55,60,45,40,30,20,20
"Avondale, Municipality of",Community,,2011,Female,340,15,25,15,20,15,15,15,25,15,35,25,30,25,25,20,10,15
"Avondale, Municipality of",Community,,2011,Male,290,15,15,15,15,10,10,20,15,25,20,30,30,25,25,15,5,10
"Avondale, Municipality of",Community,,2011,Total,635,35,40,35,35,25,25,40,40,40,50,55,55,45,45,30,20,20
"Avondale, Municipality of",Community,,2012,Female,340,15,20,15,20,20,20,15,25,15,35,25,25,20,25,10,15,10
"Avondale, Municipality of",Community,,2012,Male,300,15,15,20,15,10,15,15,20,25,25,25,35,25,25,15,5,5
"Avondale, Municipality of",Community,,2012,Total,645,35,35,35,35,25,35,35,50,40,55,50,55,45,55,25,25,20
"Lumsden, Municipality of",Community,,2010,Female,300,10,20,5,15,20,10,15,15,20,30,25,30,20,15,20,5,15
"Lumsden, Municipality of",Community,,2010,Male,285,20,10,15,10,15,5,20,15,20,20,30,35,20,20,10,15,10
"Lumsden, Municipality of",Community,,2010,Total,580,35,25,20,25,30,15,35,30,40,55,50,65,45,35,25,20,25
"Lumsden, Municipality of",Community,,2011,Female,280,5,20,5,10,15,10,15,15,20,30,25,25,25,20,15,5,15
"Lumsden, Municipality of",Community,,2011,Male,270,15,10,15,15,10,5,15,10,20,25,25,35,15,20,15,10,15
"Lumsden, Municipality of",Community,,2011,Total,545,25,25,25,20,20,15,30,25,35,55,45,60,40,35,30,15,35
"Lumsden, Municipality of",Community,,2012,Female,285,10,20,15,5,10,10,15,15,20,25,35,25,25,20,15,10,15
"Lumsden, Municipality of",Community,,2012,Male,285,20,10,10,15,15,10,10,20,20,20,25,35,20,25,20,5,15
"Lumsden, Municipality of",Community,,2012,Total,565,25,25,30,20,25,15,20,30,40,45,55,60,45,35,35,15,35
"Main Brook, Municipality of",Community,,2010,Female,140,10,,,10,5,,5,10,10,10,10,15,15,10,10,5,10
"Main Brook, Municipality of",Community,,2010,Male,140,5,5,5,10,5,5,10,5,15,15,10,10,15,10,10,5,10
"Main Brook, Municipality of",Community,,2010,Total,275,10,10,5,15,5,5,10,15,30,15,20,25,30,20,20,10,20
"Main Brook, Municipality of",Community,,2011,Female,135,10,,,5,5,5,5,5,10,10,10,15,15,10,10,5,10
"Main Brook, Municipality of",Community,,2011,Male,130,5,5,,10,5,5,5,5,15,15,10,10,10,10,5,5,10
"Main Brook, Municipality of",Community,,2011,Total,265,10,10,5,10,5,5,10,10,25,20,20,25,35,20,20,15,15
"Main Brook, Municipality of",Community,,2012,Female,150,,5,,5,10,5,5,5,10,10,10,15,20,15,10,5,10
"Main Brook, Municipality of",Community,,2012,Male,140,5,5,5,10,10,5,15,5,10,15,10,15,10,15,10,5,10
"Main Brook, Municipality of",Community,,2012,Total,290,5,10,5,10,10,10,15,15,20,20,20,30,30,30,20,15,20
"Makkovik, Municipality of",Community,,2010,Female,190,10,10,15,20,20,20,5,15,10,20,15,15,10,5,,,5
"Makkovik, Municipality of",Community,,2010,Male,195,15,15,15,15,25,10,15,10,10,15,20,15,10,5,5,,5
"Makkovik, Municipality of",Community,,2010,Total,380,30,25,25,35,35,30,20,25,20,35,30,25,20,5,5,,5
"Makkovik, Municipality of",Community,,2011,Female,175,10,5,15,15,20,20,10,15,15,15,15,10,5,10,,,
"Makkovik, Municipality of",Community,,2011,Male,190,10,15,15,15,20,10,20,10,10,10,20,10,10,5,5,5,5
"Makkovik, Municipality of",Community,,2011,Total,360,25,20,30,30,30,35,30,20,25,25,35,20,15,10,10,5,
"Makkovik, Municipality of",Community,,2012,Female,185,15,10,15,10,20,20,15,10,15,10,15,15,5,5,5,,
"Makkovik, Municipality of",Community,,2012,Male,215,15,20,15,15,20,15,20,5,10,15,20,10,15,5,5,5,5
"Makkovik, Municipality of",Community,,2012,Total,395,35,30,30,25,35,35,35,15,30,25,35,25,20,10,10,5,5
"Mary's Harbour, Municipality of",Community,,2010,Female,175,5,10,15,10,10,5,10,20,20,15,10,15,10,10,5,,10
"Mary's Harbour, Municipality of",Community,,2010,Male,175,5,15,20,15,5,10,5,10,20,15,10,10,15,5,5,5,5
"Mary's Harbour, Municipality of",Community,,2010,Total,350,10,25,30,25,15,15,20,30,45,25,25,25,30,15,10,5,10
"Mary's Harbour, Municipality of",Community,,2011,Female,190,5,10,10,15,10,10,5,20,25,20,10,15,10,10,5,5,10
"Mary's Harbour, Municipality of",Community,,2011,Male,195,10,10,15,15,10,10,5,10,20,15,15,15,20,10,5,5,5
"Mary's Harbour, Municipality of",Community,,2011,Total,385,15,20,25,30,20,20,10,30,45,35,30,30,30,20,10,10,10
"Mary's Harbour, Municipality of",Community,,2012,Female,185,5,5,5,20,5,5,5,15,25,15,15,15,15,10,5,5,10
"Mary's Harbour, Municipality of",Community,,2012,Male,185,5,10,10,20,10,10,5,10,15,20,20,15,15,10,5,5,5
"Mary's Harbour, Municipality of",Community,,2012,Total,370,10,15,20,40,15,15,10,25,45,30,35,30,30,20,10,10,15
"Middle Arm, Municipality of",Community,,2010,Female,250,10,10,20,25,20,15,15,20,30,25,15,10,20,10,10,,5
"Middle Arm, Municipality of",Community,,2010,Male,250,5,15,15,20,15,15,15,20,20,25,25,15,20,15,10,5,5
"Middle Arm, Municipality of",Community,,2010,Total,500,15,25,35,45,40,30,30,35,50,45,40,25,35,25,20,5,10
"Middle Arm, Municipality of",Community,,2011,Female,240,10,15,15,20,10,25,10,15,25,30,10,10,25,10,10,,5
"Middle Arm, Municipality of",Community,,2011,Male,235,10,10,20,20,10,15,10,20,20,20,25,15,20,15,5,10,5
"Middle Arm, Municipality of",Community,,2011,Total,475,15,25,35,40,25,35,20,30,45,45,35,25,40,25,15,10,10
"Middle Arm, Municipality of",Community,,2012,Female,240,10,15,15,20,15,20,10,10,25,30,20,15,15,15,10,5,5
"Middle Arm, Municipality of",Community,,2012,Male,240,5,15,15,15,10,15,15,10,25,20,25,15,20,15,10,5,5
"Middle Arm, Municipality of",Community,,2012,Total,480,15,30,30,35,30,35,25,20,45,45,45,30,35,30,20,10,10
"Miles Cove, Municipality of",Community,,2010,Female,65,,,5,,10,,5,,5,10,10,10,10,5,,,5
"Miles Cove, Municipality of",Community,,2010,Male,80,5,5,,5,,5,5,5,,5,10,10,10,5,5,5,
"Miles Cove, Municipality of",Community,,2010,Total,145,5,5,5,5,10,5,10,5,5,15,20,20,20,10,5,5,
"Miles Cove, Municipality of",Community,,2011,Female,60,,,5,,5,,,5,5,5,10,10,5,5,5,,5
"Miles Cove, Municipality of",Community,,2011,Male,75,,5,,,5,5,5,,5,5,5,10,5,5,5,,
"Miles Cove, Municipality of",Community,,2011,Total,135,,,5,,10,5,5,5,10,15,20,20,15,10,10,,5
"Miles Cove, Municipality of",Community,,2012,Female,65,,,,,5,5,,,5,5,10,10,10,5,5,,5
"Miles Cove, Municipality of",Community,,2012,Male,70,,,,,5,,,5,5,5,5,10,10,10,5,,5
"Miles Cove, Municipality of",Community,,2012,Total,135,,,5,,10,5,5,5,5,10,20,20,20,15,10,,5
"Ming's Bight, Municipality of",Community,,2010,Female,160,5,20,10,10,20,10,5,10,20,15,20,15,15,5,5,5,
"Ming's Bight, Municipality of",Community,,2010,Male,180,5,5,10,20,10,5,10,15,20,15,15,15,10,10,5,10,5
"Ming's Bight, Municipality of",Community,,2010,Total,340,10,15,20,30,25,20,15,25,35,30,30,25,25,10,10,10,10
"Ming's Bight, Municipality of",Community,,2011,Female,165,5,15,15,10,15,5,10,10,20,15,20,15,10,5,5,,
"Ming's Bight, Municipality of",Community,,2011,Male,170,5,5,5,15,10,10,10,15,15,15,10,15,10,10,5,10,5
"Ming's Bight, Municipality of",Community,,2011,Total,335,15,15,20,25,20,15,15,25,30,30,30,30,20,15,10,10,10
"Ming's Bight, Municipality of",Community,,2012,Female,155,5,15,10,10,15,10,10,5,15,15,10,20,10,5,5,5,
"Ming's Bight, Municipality of",Community,,2012,Male,170,10,5,10,15,10,10,10,15,15,20,10,15,10,10,5,5,10
"Ming's Bight, Municipality of",Community,,2012,Total,320,15,15,20,25,20,15,20,20,25,35,20,35,20,20,10,10,10
Mount Moriah,Community,,2010,Female,400,25,35,20,25,20,15,20,35,35,35,35,30,20,20,15,10,5
Mount Moriah,Community,,2010,Male,410,20,20,30,20,25,20,20,40,20,40,25,40,25,15,15,10,5
Mount Moriah,Community,,2010,Total,810,45,55,55,45,45,25,45,75,65,80,60,70,50,35,30,20,15
Mount Moriah,Community,,2011,Female,395,15,30,25,25,15,15,15,35,35,35,35,35,20,20,15,10,10
Mount Moriah,Community,,2011,Male,390,15,20,30,25,20,15,15,30,30,40,30,40,25,20,15,10,5
Mount Moriah,Community,,2011,Total,785,30,50,60,50,35,25,35,70,70,75,65,75,50,40,30,25,15
Mount Moriah,Community,,2012,Female,400,15,35,25,20,20,15,15,40,35,35,35,30,25,20,15,15,10
Mount Moriah,Community,,2012,Male,395,15,20,20,35,25,15,15,30,35,30,35,35,25,20,15,10,5
Mount Moriah,Community,,2012,Total,795,30,55,50,50,40,25,35,70,80,70,70,65,60,40,30,25,15
"Mount Pearl, Municipality of",Community,,2010,Female,12790,520,545,730,835,905,875,785,835,1000,1185,1090,1070,790,525,365,270,465
"Mount Pearl, Municipality of",Community,,2010,Male,11540,540,565,715,805,915,765,695,720,890,965,1040,950,760,485,325,170,245
"Mount Pearl, Municipality of",Community,,2010,Total,24330,1060,1110,1445,1640,1815,1635,1475,1550,1890,2155,2130,2020,1550,1010,685,435,705
"Mount Pearl, Municipality of",Community,,2011,Female,12730,495,540,680,800,920,880,800,815,945,1195,1070,1110,810,575,380,275,445
"Mount Pearl, Municipality of",Community,,2011,Male,11550,560,550,685,775,940,755,720,700,835,980,1010,990,775,530,330,200,230
"Mount Pearl, Municipality of",Community,,2011,Total,24285,1055,1090,1365,1570,1855,1635,1520,1515,1780,2180,2080,2095,1585,1105,705,470,675
"Mount Pearl, Municipality of",Community,,2012,Female,12520,470,505,635,770,890,845,785,810,900,1105,1090,1055,850,635,425,280,460
"Mount Pearl, Municipality of",Community,,2012,Male,11285,565,555,605,740,840,745,690,660,810,920,995,965,810,565,370,210,255
"Mount Pearl, Municipality of",Community,,2012,Total,23810,1035,1060,1245,1505,1725,1590,1470,1465,1710,2030,2090,2015,1660,1200,790,490,710
"Musgrave Harbour, Municipality of",Community,,2010,Female,580,30,20,25,35,20,15,40,40,50,50,50,60,50,25,25,25,35
"Musgrave Harbour, Municipality of",Community,,2010,Male,580,20,30,30,35,25,25,40,30,40,45,45,60,45,40,30,15,15
"Musgrave Harbour, Municipality of",Community,,2010,Total,1155,55,55,55,65,50,40,80,60,90,95,100,120,90,60,45,40,50
"Musgrave Harbour, Municipality of",Community,,2011,Female,535,25,20,25,25,20,10,30,40,40,50,50,50,45,30,25,25,25
"Musgrave Harbour, Municipality of",Community,,2011,Male,520,20,20,30,30,20,20,35,25,40,40,40,45,50,45,25,15,15
"Musgrave Harbour, Municipality of",Community,,2011,Total,1055,50,40,60,55,45,30,65,60,80,90,95,95,90,70,40,45,35
"Musgrave Harbour, Municipality of",Community,,2012,Female,550,25,20,25,30,15,15,30,40,40,55,50,50,40,40,25,15,35
"Musgrave Harbour, Municipality of",Community,,2012,Male,545,20,25,25,30,20,20,40,25,45,45,50,45,45,50,30,15,15
"Musgrave Harbour, Municipality of",Community,,2012,Total,1095,50,45,50,60,40,35,75,60,85,100,105,90,85,85,50,35,50
"Musgravetown, Municipality of",Community,,2010,Female,300,10,20,15,20,5,10,15,20,25,20,25,25,30,25,10,20,10
"Musgravetown, Municipality of",Community,,2010,Male,285,5,15,20,20,10,5,5,25,20,25,20,30,35,15,10,10,15
"Musgravetown, Municipality of",Community,,2010,Total,585,15,30,35,35,15,15,20,45,45,50,40,60,65,40,25,25,25
"Musgravetown, Municipality of",Community,,2011,Female,295,10,20,15,20,5,10,10,25,20,20,20,25,30,30,10,15,15
"Musgravetown, Municipality of",Community,,2011,Male,265,10,10,20,15,10,5,5,20,20,25,15,25,30,15,15,15,10
"Musgravetown, Municipality of",Community,,2011,Total,555,15,25,35,35,15,15,20,45,40,45,35,50,60,50,25,25,25
"Musgravetown, Municipality of",Community,,2012,Female,310,5,20,15,20,10,10,15,20,20,25,25,25,30,30,10,20,15
"Musgravetown, Municipality of",Community,,2012,Male,280,5,10,20,20,10,10,5,15,20,25,20,30,25,25,15,10,15
"Musgravetown, Municipality of",Community,,2012,Total,585,15,25,30,45,20,20,20,35,40,50,40,55,55,55,25,25,30
"Nain, Municipality of",Community,,2010,Female,545,55,40,50,55,60,55,45,25,35,30,35,25,25,5,10,5,
"Nain, Municipality of",Community,,2010,Male,595,55,55,40,55,50,40,50,30,35,45,45,30,15,15,10,5,5
"Nain, Municipality of",Community,,2010,Total,1145,110,90,90,115,110,95,95,60,75,75,85,55,45,20,20,10,5
"Nain, Municipality of",Community,,2011,Female,565,55,40,50,55,55,55,45,30,40,30,30,30,20,5,10,5,
"Nain, Municipality of",Community,,2011,Male,620,65,45,40,60,60,50,50,45,30,45,40,40,15,15,10,10,5
"Nain, Municipality of",Community,,2011,Total,1190,120,80,90,115,110,110,95,75,75,75,75,70,40,25,20,10,5
"Nain, Municipality of",Community,,2012,Female,560,55,45,45,55,50,60,45,35,35,35,25,30,35,5,5,10,5
"Nain, Municipality of",Community,,2012,Male,675,75,40,50,60,60,60,50,50,30,45,45,40,20,20,10,10,5
"Nain, Municipality of",Community,,2012,Total,1235,130,85,100,120,105,120,90,85,70,80,80,70,55,25,20,15,10
"Baine Harbour, Municipality of",Community,,2010,Female,65,5,,5,,5,5,5,5,5,5,5,5,10,5,,,
"Baine Harbour, Municipality of",Community,,2010,Male,75,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,,
"Baine Harbour, Municipality of",Community,,2010,Total,140,10,5,10,5,5,5,10,10,10,10,15,15,15,10,5,5,5
"Baine Harbour, Municipality of",Community,,2011,Female,65,5,,,,5,,5,5,5,5,,5,10,,5,,
"Baine Harbour, Municipality of",Community,,2011,Male,75,,5,5,5,5,,5,5,5,5,5,5,5,5,5,,
"Baine Harbour, Municipality of",Community,,2011,Total,135,10,5,10,5,5,5,15,10,10,10,10,10,15,10,5,,5
"Baine Harbour, Municipality of",Community,,2012,Female,65,5,5,,5,5,,5,5,5,5,,10,10,5,5,,5
"Baine Harbour, Municipality of",Community,,2012,Male,70,5,5,5,,5,,5,5,5,5,,5,5,5,5,,
"Baine Harbour, Municipality of",Community,,2012,Total,130,10,5,5,5,5,5,15,10,10,5,5,15,15,10,10,,5
"New Perlican, Municipality of",Community,,2010,Female,110,5,5,,5,5,5,5,5,10,5,10,15,10,10,5,,10
"New Perlican, Municipality of",Community,,2010,Male,110,5,5,5,10,5,,,5,5,10,10,15,10,5,10,,
"New Perlican, Municipality of",Community,,2010,Total,220,5,5,10,20,5,5,10,10,15,15,20,30,20,15,20,5,10
"New Perlican, Municipality of",Community,,2011,Female,105,5,5,,10,5,,5,5,10,5,10,15,5,10,5,5,5
"New Perlican, Municipality of",Community,,2011,Male,105,,5,5,10,5,,,5,5,10,10,15,10,5,10,5,
"New Perlican, Municipality of",Community,,2011,Total,210,5,5,10,20,10,5,5,5,15,15,20,30,20,15,15,5,10
"New Perlican, Municipality of",Community,,2012,Female,110,5,5,5,5,5,,5,5,10,5,10,20,5,10,5,5,5
"New Perlican, Municipality of",Community,,2012,Male,105,5,5,5,10,10,5,,5,5,5,15,15,10,5,5,5,5
"New Perlican, Municipality of",Community,,2012,Total,215,5,5,10,15,15,10,5,10,15,10,25,30,20,20,15,5,10
"Nippers Harbour, Municipality of",Community,,2010,Female,65,,5,5,,5,,,10,5,10,5,,5,5,5,,
"Nippers Harbour, Municipality of",Community,,2010,Male,60,,5,5,5,5,,5,5,5,,5,5,5,,5,,5
